ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20151116,212.5,216.5,212.0,213.78,215.11,-1.33,-0.62,23916.7,511461.32
600519.SH,20151113,218.1,219.5,214.83,215.11,220.01,-4.9,-2.23,28397.18,614644.801
600519.SH,20151112,220.23,223.0,219.38,220.01,220.15,-0.14,-0.06,16180.85,357408.916
600519.SH,20151111,222.01,223.0,218.6,220.15,222.38,-2.23,-1.0,23815.5,524296.324
600519.SH,20151110,220.0,224.12,219.16,222.38,220.83,1.55,0.7,28729.76,639416.128
600519.SH,20151109,222.0,224.66,219.0,220.83,218.42,2.41,1.1,40527.29,900398.639
600519.SH,20151106,217.35,218.6,215.56,218.42,216.56,1.86,0.86,21695.71,471929.422
600519.SH,20151105,214.6,223.28,213.5,216.56,214.98,1.58,0.74,49982.58,1087812.237
600519.SH,20151104,210.58,216.0,210.11,214.98,209.71,5.27,2.51,30809.72,659118.997
600519.SH,20151103,212.92,215.76,208.4,209.71,212.56,-2.85,-1.34,23173.29,493565.252
600519.SH,20151102,214.6,215.86,212.5,212.56,213.86,-1.3,-0.61,15298.2,328246.682
600519.SH,20151030,212.95,215.8,212.12,213.86,213.0,0.86,0.4,12257.91,263117.287
600519.SH,20151029,212.0,214.79,212.0,213.0,212.44,0.56,0.26,13454.35,287688.318
600519.SH,20151028,214.99,214.99,211.9,212.44,215.25,-2.81,-1.31,16559.22,353020.506
600519.SH,20151027,217.1,217.68,212.58,215.25,217.73,-2.48,-1.14,22572.79,484597.005
600519.SH,20151026,212.0,218.3,208.0,217.73,210.98,6.75,3.2,43346.26,932490.839
600519.SH,20151023,205.8,217.6,205.55,210.98,202.53,8.45,4.17,56277.34,1189746.955
600519.SH,20151022,200.24,202.73,199.43,202.53,200.31,2.22,1.11,23720.3,478632.748
600519.SH,20151021,202.08,202.55,197.01,200.31,201.97,-1.66,-0.82,22349.14,447195.037
600519.SH,20151020,202.02,202.88,201.18,201.97,202.72,-0.75,-0.37,14784.29,298284.287
600519.SH,20151019,204.94,204.94,201.9,202.72,200.74,1.98,0.99,26121.45,531101.872
600519.SH,20151016,201.22,202.4,199.41,200.74,199.99,0.75,0.38,19238.43,386383.069
600519.SH,20151015,198.16,200.37,197.56,199.99,197.83,2.16,1.09,16550.13,329836.775
600519.SH,20151014,198.98,199.5,197.01,197.83,198.74,-0.91,-0.46,15213.39,301666.756
600519.SH,20151013,198.09,200.09,198.09,198.74,198.09,0.65,0.33,15751.13,313495.454
600519.SH,20151012,199.0,204.49,197.85,198.09,196.95,1.14,0.58,49030.0,982174.156
600519.SH,20151009,198.78,198.9,196.5,196.95,197.52,-0.57,-0.29,15721.74,310187.702
600519.SH,20151008,198.78,201.58,197.0,197.52,190.31,7.21,3.79,34391.79,684138.047
600519.SH,20150930,190.23,191.48,190.17,190.31,190.17,0.14,0.07,11634.63,222178.053
600519.SH,20150929,189.55,191.37,188.3,190.17,191.38,-1.21,-0.63,18409.82,348759.19
600519.SH,20150928,191.48,192.3,189.23,191.38,193.46,-2.08,-1.08,12341.1,235369.401
600519.SH,20150925,193.99,194.9,189.5,193.46,194.0,-0.54,-0.28,24455.97,470411.106
600519.SH,20150924,195.8,196.28,192.8,194.0,194.72,-0.72,-0.37,13886.74,269653.188
600519.SH,20150923,197.15,198.99,194.1,194.72,199.27,-4.55,-2.28,22344.32,438412.337
600519.SH,20150922,200.77,201.18,198.98,199.27,199.3,-0.03,-0.02,16457.4,329161.941
600519.SH,20150921,198.01,200.7,198.0,199.3,199.43,-0.13,-0.07,16527.67,329196.735
600519.SH,20150918,198.6,200.89,198.0,199.43,198.0,1.43,0.72,15642.76,312040.97
600519.SH,20150917,202.6,205.8,197.61,198.0,204.55,-6.55,-3.2,26423.0,533638.541
600519.SH,20150916,200.01,209.54,197.73,204.55,202.0,2.55,1.26,37198.02,753188.784
600519.SH,20150915,198.01,202.02,195.12,202.0,202.53,-0.53,-0.26,51884.34,1035493.477
600519.SH,20150914,192.43,202.8,187.9,202.53,192.91,9.62,4.99,86175.55,1678995.779
600519.SH,20150911,191.88,194.1,191.05,192.91,193.21,-0.3,-0.16,16932.14,326277.629
600519.SH,20150910,190.38,193.3,189.14,193.21,191.86,1.35,0.7,26852.48,514766.384
600519.SH,20150909,190.14,193.87,190.14,191.86,189.32,2.54,1.34,35215.16,676337.501
600519.SH,20150908,188.46,190.47,185.0,189.32,188.71,0.61,0.32,33098.58,621914.336
600519.SH,20150907,192.6,194.0,188.65,188.71,194.61,-5.9,-3.03,32216.42,615819.752
600519.SH,20150902,190.11,195.0,189.2,194.61,194.37,0.24,0.12,106945.46,2052413.262
600519.SH,20150901,191.82,195.0,188.0,194.37,195.37,-1.0,-0.51,87432.69,1688392.993
600519.SH,20150831,189.34,195.5,185.18,195.37,192.65,2.72,1.41,62730.19,1198185.023
600519.SH,20150828,195.0,195.29,187.13,192.65,197.07,-4.42,-2.24,89925.83,1720106.859
600519.SH,20150827,190.0,199.9,184.89,197.07,183.88,13.19,7.17,87052.01,1663248.886
600519.SH,20150826,176.76,188.5,175.0,183.88,176.59,7.29,4.13,91572.53,1663612.844
600519.SH,20150825,167.46,182.51,166.2,176.59,169.64,6.95,4.1,123080.58,2165823.577
600519.SH,20150824,181.0,181.5,168.2,169.64,186.33,-16.69,-8.96,89812.84,1559048.775
600519.SH,20150821,191.52,194.86,186.12,186.33,195.07,-8.74,-4.48,75620.61,1433277.975
600519.SH,20150820,200.83,201.0,194.9,195.07,201.62,-6.55,-3.25,39645.03,788892.224
600519.SH,20150819,199.75,202.16,198.18,201.62,201.06,0.56,0.28,50261.8,1004394.398
600519.SH,20150818,206.98,207.5,200.35,201.06,206.22,-5.16,-2.5,51285.52,1047896.516
600519.SH,20150817,208.02,208.82,204.0,206.22,209.98,-3.76,-1.79,53858.32,1108212.041
600519.SH,20150814,210.5,211.4,209.25,209.98,209.51,0.47,0.22,30666.9,645849.785
600519.SH,20150813,211.5,211.5,206.0,209.51,209.47,0.04,0.02,35180.25,733202.199
600519.SH,20150812,209.99,214.29,208.75,209.47,210.75,-1.28,-0.61,45824.34,968610.598
600519.SH,20150811,212.3,212.41,210.01,210.75,212.3,-1.55,-0.73,50897.05,1076261.224
600519.SH,20150810,207.01,213.0,205.13,212.3,206.93,5.37,2.6,56496.43,1182083.559
600519.SH,20150807,207.49,208.6,205.6,206.93,204.96,1.97,0.96,39521.34,819022.56
600519.SH,20150806,206.23,207.5,203.0,204.96,207.19,-2.23,-1.08,39249.8,805358.564
600519.SH,20150805,212.93,213.85,206.94,207.19,211.97,-4.78,-2.26,43143.85,907597.376
600519.SH,20150804,209.26,213.98,209.26,211.97,209.56,2.41,1.15,59533.96,1260302.964
600519.SH,20150803,205.0,209.99,203.0,209.56,206.83,2.73,1.32,54553.03,1117796.04
600519.SH,20150731,206.7,206.93,203.0,206.83,205.96,0.87,0.42,40736.64,835374.146
600519.SH,20150730,208.83,208.83,205.1,205.96,207.74,-1.78,-0.86,41134.0,853284.372
600519.SH,20150729,207.78,210.0,202.13,207.74,205.83,1.91,0.93,66507.43,1364157.58
600519.SH,20150728,199.86,209.44,197.48,205.83,201.52,4.31,2.14,86703.57,1766521.467
600519.SH,20150727,217.0,221.3,201.0,201.52,219.21,-17.69,-8.07,76944.15,1628465.532
600519.SH,20150724,220.5,223.69,218.75,219.21,219.54,-0.33,-0.15,57390.09,1271122.141
600519.SH,20150723,217.99,220.6,215.77,219.54,217.13,2.41,1.11,64748.1,1411411.702
600519.SH,20150722,220.0,222.0,216.58,217.13,221.66,-4.53,-2.04,70855.1,1552554.839
600519.SH,20150721,221.75,224.2,220.0,221.66,225.11,-3.45,-1.53,51789.96,1148423.253
600519.SH,20150720,227.15,227.9,222.5,225.11,228.29,-3.18,-1.39,67933.55,1531275.688
600519.SH,20150717,229.0,229.99,224.74,228.29,224.74,3.55,1.58,56418.53,1284361.191
600519.SH,20150716,251.26,254.18,248.26,251.59,251.26,0.33,0.13,72814.33,1826618.391
600519.SH,20150715,247.5,252.7,243.28,251.26,249.05,2.21,0.89,104077.46,2585923.324
600519.SH,20150714,255.0,255.18,247.2,249.05,257.75,-8.7,-3.38,96768.3,2425239.239
600519.SH,20150713,258.0,265.58,251.0,257.75,265.59,-7.84,-2.95,148926.16,3838169.457
600519.SH,20150710,257.0,283.0,251.96,265.59,257.94,7.65,2.97,256149.3,6888908.351
600519.SH,20150709,236.86,260.41,233.0,257.94,236.86,21.08,8.9,138203.34,3409950.542
600519.SH,20150708,229.0,244.99,219.76,236.86,244.18,-7.32,-3.0,289140.54,6738026.659
600519.SH,20150707,250.0,256.58,239.5,244.18,254.04,-9.86,-3.88,167562.24,4121731.56
600519.SH,20150706,267.95,267.99,239.5,254.04,249.81,4.23,1.69,272799.66,7012491.142
600519.SH,20150703,255.0,260.5,242.2,249.81,260.3,-10.49,-4.03,109605.31,2772183.16
600519.SH,20150702,255.3,282.6,245.01,260.3,257.49,2.81,1.09,118459.72,3011363.68
600519.SH,20150701,255.0,268.5,250.98,257.49,257.65,-0.16,-0.06,103326.54,2696026.039
600519.SH,20150630,246.64,259.82,246.0,257.65,246.64,11.01,4.46,126298.19,3205285.541
600519.SH,20150629,248.37,256.5,227.8,246.64,242.45,4.19,1.73,165071.67,4057069.903
600519.SH,20150626,250.02,255.75,235.3,242.45,251.79,-9.34,-3.71,99332.01,2451381.599
600519.SH,20150625,261.5,262.03,250.21,251.79,261.21,-9.42,-3.61,66521.66,1707385.606
600519.SH,20150624,250.0,265.2,247.65,261.21,252.25,8.96,3.55,95706.94,2463553.858
600519.SH,20150623,239.8,255.85,234.13,252.25,235.31,16.94,7.2,81247.34,1989068.141
600519.SH,20150619,245.87,248.49,234.02,235.31,243.97,-8.66,-3.55,67608.66,1646002.769
600519.SH,20150618,253.02,254.8,240.6,243.97,255.09,-11.12,-4.36,61506.5,1530836.127
600519.SH,20150617,253.96,257.76,249.0,255.09,253.95,1.14,0.45,58388.81,1478407.037
600519.SH,20150616,259.0,265.8,252.5,253.95,260.89,-6.94,-2.66,69303.84,1789696.036
600519.SH,20150615,266.98,272.0,260.08,260.89,266.0,-5.11,-1.92,100014.22,2664672.586
600519.SH,20150612,262.12,273.0,261.0,266.0,260.06,5.94,2.28,90909.52,2438986.511
600519.SH,20150611,260.0,264.5,257.77,260.06,261.05,-0.99,-0.38,52954.54,1378413.758
600519.SH,20150610,255.64,266.88,253.8,261.05,259.03,2.02,0.78,80462.08,2096832.88
600519.SH,20150609,265.0,269.8,256.5,259.03,264.64,-5.61,-2.12,77851.86,2045525.401
600519.SH,20150608,251.51,267.54,249.8,264.64,253.84,10.8,4.25,96007.97,2462736.702
600519.SH,20150605,258.11,262.1,246.0,253.84,258.21,-4.37,-1.69,85738.23,2188974.566
600519.SH,20150604,262.98,265.0,240.0,258.21,262.79,-4.58,-1.74,92362.73,2332785.391
600519.SH,20150603,265.18,266.62,260.01,262.79,266.62,-3.83,-1.44,46424.03,1218378.716
600519.SH,20150602,270.5,270.5,260.66,266.62,271.46,-4.84,-1.78,64635.6,1708951.665
600519.SH,20150601,263.94,272.98,259.8,271.46,263.83,7.63,2.89,65816.7,1747123.649
600519.SH,20150529,260.01,269.0,259.89,263.83,261.11,2.72,1.04,57783.09,1531805.542
600519.SH,20150528,275.25,281.0,260.1,261.11,276.9,-15.79,-5.7,60884.99,1650995.554
600519.SH,20150527,285.52,289.32,273.0,276.9,285.54,-8.64,-3.03,46934.79,1309259.999
600519.SH,20150526,286.6,290.0,283.96,285.54,286.83,-1.29,-0.45,60914.68,1746031.124
600519.SH,20150525,270.0,288.49,269.0,286.83,275.86,10.97,3.98,67473.62,1868570.18
600519.SH,20150522,259.68,276.8,259.59,275.86,258.59,17.27,6.68,66649.06,1779754.347
600519.SH,20150521,256.0,261.3,254.01,258.59,253.95,4.64,1.83,47669.13,1230234.942
600519.SH,20150520,252.0,260.0,249.3,253.95,250.04,3.91,1.56,63771.5,1631009.463
600519.SH,20150519,241.05,250.22,240.2,250.04,241.14,8.9,3.69,47637.77,1174434.448
600519.SH,20150518,245.0,245.0,240.1,241.14,245.17,-4.03,-1.64,35363.24,856505.079
600519.SH,20150515,251.41,253.49,241.61,245.17,251.41,-6.24,-2.48,54185.07,1333031.173
600519.SH,20150514,256.25,259.5,251.22,251.41,256.4,-4.99,-1.95,41853.29,1062504.725
600519.SH,20150513,253.8,262.97,252.5,256.4,254.42,1.98,0.78,58913.41,1520374.556
600519.SH,20150512,257.2,257.2,252.0,254.42,257.44,-3.02,-1.17,47031.29,1193035.14
600519.SH,20150511,251.5,257.99,250.0,257.44,254.17,3.27,1.29,61345.7,1552417.973
600519.SH,20150508,246.12,254.88,245.9,254.17,244.93,9.24,3.77,57805.59,1447670.266
600519.SH,20150507,245.0,251.88,242.56,244.93,242.68,2.25,0.93,68102.9,1693825.898
600519.SH,20150506,243.98,246.99,240.01,242.68,240.95,1.73,0.72,60324.32,1472597.539
600519.SH,20150505,252.0,252.0,239.88,240.95,254.97,-14.02,-5.5,73700.03,1801146.749
600519.SH,20150504,252.66,259.0,250.02,254.97,252.23,2.74,1.09,54739.02,1398337.296
600519.SH,20150430,251.15,254.9,247.75,252.23,249.78,2.45,0.98,64064.07,1610938.043
600519.SH,20150429,246.1,253.0,246.1,249.78,247.89,1.89,0.76,59300.57,1477767.688
600519.SH,20150428,254.0,258.6,247.05,247.89,255.79,-7.9,-3.09,87291.77,2187970.737
600519.SH,20150427,257.58,267.8,252.99,255.79,258.49,-2.7,-1.04,78973.35,2050832.438
600519.SH,20150424,251.88,259.68,245.01,258.49,256.04,2.45,0.96,100531.23,2547399.865
600519.SH,20150423,264.0,264.17,252.98,256.04,263.89,-7.85,-2.97,86030.12,2214737.651
600519.SH,20150422,268.8,269.0,257.11,263.89,257.43,6.46,2.51,134635.06,3543576.711
600519.SH,20150421,240.0,257.43,240.0,257.43,234.03,23.4,10.0,122401.88,3039243.96
